time,longitude,variable,mean_value
2025-09-16,-127.75,spco2,41.763484954833984
2025-09-16,-127.5,spco2,41.74081039428711
2025-09-16,-127.25,spco2,41.73748016357422
2025-09-16,-127.0,spco2,41.76694107055664
2025-09-16,-126.75,spco2,41.804325103759766
2025-09-16,-126.5,spco2,41.698699951171875
2025-09-16,-126.25,spco2,41.66836929321289
2025-09-16,-126.0,spco2,41.63275146484375
2025-09-16,-125.75,spco2,41.61939239501953
2025-09-16,-125.5,spco2,41.617576599121094
2025-09-16,-125.25,spco2,41.79323959350586
2025-09-16,-125.0,spco2,41.940673828125
2025-09-16,-124.75,spco2,41.93937301635742
2025-09-16,-124.5,spco2,41.99761199951172
2025-09-16,-124.25,spco2,42.012054443359375
2025-09-16,-124.0,spco2,42.04140853881836
2025-09-16,-123.75,spco2,41.921241760253906
2025-09-16,-123.5,spco2,42.018985748291016
2025-09-16,-123.25,spco2,42.17292022705078
2025-09-16,-123.0,spco2,42.080421447753906
2025-09-16,-122.75,spco2,41.924617767333984
2025-09-16,-122.5,spco2,41.872440338134766
2025-09-16,-122.25,spco2,41.801795959472656
2025-09-16,-122.0,spco2,41.80696105957031
2025-09-16,-121.75,spco2,41.80803680419922
2025-09-16,-121.5,spco2,41.80535888671875
2025-09-16,-121.25,spco2,41.81515121459961
2025-09-16,-121.0,spco2,41.826725006103516
2025-09-16,-120.75,spco2,41.81525421142578
2025-09-16,-120.5,spco2,41.821258544921875
2025-09-16,-120.25,spco2,41.830448150634766
2025-09-16,-120.0,spco2,41.844749450683594
2025-09-16,-119.75,spco2,41.83796691894531
2025-09-16,-119.5,spco2,41.86145782470703
2025-09-16,-119.25,spco2,41.86245346069336
2025-09-16,-119.0,spco2,41.89040756225586
2025-09-16,-118.75,spco2,41.85616683959961
2025-09-16,-118.5,spco2,41.916744232177734
2025-09-16,-118.25,spco2,41.936397552490234
2025-09-16,-118.0,spco2,41.94461441040039
2025-09-16,-117.75,spco2,41.92926788330078
2025-09-16,-117.5,spco2,41.94326400756836
2025-09-16,-117.25,spco2,41.938392639160156
2025-09-16,-117.0,spco2,41.934715270996094
2025-09-16,-116.75,spco2,42.01870346069336
2025-09-16,-116.5,spco2,42.05912780761719
2025-09-16,-116.25,spco2,42.08795928955078
2025-09-16,-116.0,spco2,42.09052658081055
2025-09-16,-115.75,spco2,42.135353088378906
2025-09-16,-115.5,spco2,42.15366744995117
2025-09-16,-115.25,spco2,42.200233459472656
2025-09-16,-115.0,spco2,42.247074127197266
2025-09-16,-114.75,spco2,42.31629180908203
2025-09-16,-114.5,spco2,42.471927642822266
2025-09-16,-114.25,spco2,42.484458923339844
2025-09-16,-114.0,spco2,42.3914794921875
2025-09-16,-113.75,spco2,42.40597915649414
2025-09-16,-113.5,spco2,42.50639343261719
2025-09-16,-113.25,spco2,42.57990264892578
2025-09-16,-113.0,spco2,42.51231384277344
2025-09-16,-112.75,spco2,42.55121994018555
2025-09-16,-112.5,spco2,42.47700500488281
2025-09-16,-112.25,spco2,42.35041046142578
2025-09-16,-112.0,spco2,42.149444580078125
2025-09-16,-111.75,spco2,42.08313751220703
2025-09-16,-111.5,spco2,42.047210693359375
2025-09-16,-111.25,spco2,42.13518142700195
2025-09-16,-111.0,spco2,42.10884475708008
2025-09-16,-110.75,spco2,42.06427764892578
2025-09-16,-110.5,spco2,41.99143981933594
2025-09-16,-110.25,spco2,41.947349548339844
2025-09-16,-110.0,spco2,41.9830322265625
2025-09-16,-109.75,spco2,42.028533935546875
2025-09-16,-109.5,spco2,42.13780212402344
2025-09-16,-109.25,spco2,42.01912307739258
2025-09-16,-109.0,spco2,41.999752044677734
2025-09-16,-108.75,spco2,41.98514938354492
2025-09-16,-108.5,spco2,41.84962463378906
